STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-10,24.4,",,7",3.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-11,12.2,",,7",3.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-12,9.4,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-13,10.6,",,7",5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-14,18.3,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-15,26.7,",,7",11.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-16,22.2,",,7",15,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-17,17.2,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-18,24.4,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-19,20.6,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-20,22.8,",,7",7.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-21,10.6,",,7",6.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-22,10.6,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-23,15.6,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-24,16.1,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-25,20,",,7",10.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-26,24.4,",,7",12.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-27,15.6,",,7",6.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-28,10,",,7",6.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-29,7.2,",,7",4.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-04-30,11.7,",,7",5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-01,13.3,",,7",7.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-02,10,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-03,10.6,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-04,9.4,",,7",7.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-05,10.6,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-06,10.6,",,7",6.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-07,9.4,",,7",5,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-08,7.8,",,7",4.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-09,10,",,7",5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-10,13.3,",,7",8.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-11,13.9,",,7",7.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-12,13.9,",,7",9.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-13,25.6,",,7",10.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-14,13.9,",,7",8.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-15,20.6,",,7",8.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-16,30,",,7",14.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-17,28.3,",,7",17.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-18,25.6,",,7",8.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-19,10,",,7",5.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-20,15,",,7",8.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-21,18.9,",,7",11.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-22,23.3,",,7",10,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-23,16.7,",,7",12.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-24,12.8,",,7",9.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-25,16.7,",,7",11.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-26,16.1,",,7",12.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-27,16.1,",,7",11.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-28,22.8,",,7",12.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-29,24.4,",,7",14.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-30,22.8,",,7",13.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-05-31,22.2,",,7",14.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-01,18.3,",,7",13.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-02,24.4,",,7",13.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-03,28.3,",,7",16.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-04,31.7,",,7",17.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-05,22.2,",,7",13.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-06,18.9,",,7",12.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-07,20,",,7",12.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-08,22.8,",,7",13.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-09,28.3,",,7",15.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-10,31.7,",,7",15.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-11,33.3,",,7",22.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-12,33.9,",,7",18.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-13,23.9,",,7",17.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-14,31.1,",,7",18.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-15,28.9,",,7",20.6,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-16,30,",,7",18.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-17,30,",,7",18.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-18,25.6,",,7",21.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-19,25,",,7",17.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-20,25.6,",,7",15,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-21,21.7,",,7",14.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-22,30.6,",,7",18.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-23,26.1,",,7",17.2,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-24,23.3,",,7",17.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-25,21.7,",,7",14.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-26,22.2,",,7",14.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-27,21.1,",,7",13.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-28,27.2,",,7",16.7,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-29,27.8,",,7",17.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-06-30,25,",,7",19.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-01,27.8,",,7",20,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-02,31.1,",,7",18.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-03,23.3,",,7",18.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-04,25,",,7",18.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-05,25.6,",,7",19.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-06,31.1,",,7",23.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-07,28.9,",,7",18.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-08,22.8,",,7",17.8,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-09,29.4,",,7",18.9,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-10,28.3,",,7",19.4,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-11,26.7,",,7",21.1,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-12,26.1,",,7",20,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-13,28.3,",,7",23.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-14,23.3,",,7",18.3,",,7"
USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2017-07-15,27.2,",,7",17.8,",,7"
